sivusto_ryhma,kategoria,polku,haku_lauseke,pvm_avain,distinctcount visitor key,käydyt sivut,sivujen määrä,kävijää per sivulataus,Sum of klikit,Average of klikkiprosentti,Average of keskisijainti,Sum of gsc naytot,Sum of naytot,GSC näyttö vs näyttö suhde
ilmiöt.fi,Alustatalous ja algoritmit,/ai-slop.html,ai slop suomeksi,20260712,37,2,2,0.9487179487179487,0,0.00%,7,1,39,39
ilmiöt.fi,Alustatalous ja algoritmit,/ai-slop.html,ai slop suomeksi,20260713,37,2,2,0.9487179487179487,0,0.00%,7,1,39,39
ilmiöt.fi,Alustatalous ja algoritmit,/ai-slop.html,ai slop suomeksi,20260718,37,2,2,0.9487179487179487,0,0.00%,9,1,39,39
ilmiöt.fi,Alustatalous ja algoritmit,/ai-slop.html,slop,20260721,37,2,2,0.9487179487179487,0,0.00%,5,1,39,39
ilmiöt.fi,Alustatalous ja algoritmit,/ai-slop.html,slop suomeksi,20260708,37,2,2,0.9487179487179487,0,0.00%,12,1,39,39
ilmiöt.fi,Alustatalous ja algoritmit,/ai-slop.html,slop suomeksi,20260712,37,2,2,0.9487179487179487,0,0.00%,12,1,39,39
ilmiöt.fi,Alustatalous ja algoritmit,/ai-slop.html,slop suomeksi,20260722,37,2,2,0.9487179487179487,0,0.00%,12,1,39,39
ilmiöt.fi,Alustatalous ja algoritmit,/ai-slop.html,slop suomeksi,20260724,37,2,2,0.9487179487179487,0,0.00%,9,1,39,39
ilmiöt.fi,Alustatalous ja algoritmit,/rage-bait.html,rage bait suomeksi,20260717,19,2,2,0.8636363636363636,0,0.00%,10,1,22,22
ilmiöt.fi,Alustatalous ja algoritmit,/rage-bait.html,rage bait suomeksi,20260721,19,2,2,0.8636363636363636,0,0.00%,11,1,22,22
ilmiöt.fi,Alustatalous ja algoritmit,/rage-bait.html,rage baita,20260722,19,2,2,0.8636363636363636,0,0.00%,11,1,22,22
ilmiöt.fi,Alustatalous ja algoritmit,/rage-bait.html,ragebait,20260713,19,2,2,0.8636363636363636,0,0.00%,16,1,22,22
ilmiöt.fi,Alustatalous ja algoritmit,/rage-bait.html,ragebait suomeksi,20260711,19,2,2,0.8636363636363636,0,0.00%,9,1,22,22
ilmiöt.fi,Alustatalous ja algoritmit,/rage-bait.html,ragebait suomeksi,20260715,19,2,2,0.8636363636363636,0,0.00%,13,1,22,22
ilmiöt.fi,Alustatalous ja algoritmit,/rage-bait.html,ragebait tarkoittaa,20260718,19,2,2,0.8636363636363636,0,0.00%,15,1,22,22
ilmiöt.fi,Alustatalous ja algoritmit,/rage-bait.html,raivo,20260710,19,2,2,0.8636363636363636,0,0.00%,5,1,22,22
ilmiöt.fi,Psykologia ja kognitio,/darvo.html,darvo suomeksi,20260703,29,2,2,0.725,0,0.00%,8,2,40,20
ilmiöt.fi,Psykologia ja kognitio,/darvo.html,darvo suomeksi,20260709,29,2,2,0.725,0,0.00%,4.5,2,40,20
ilmiöt.fi,Psykologia ja kognitio,/darvo.html,darvo suomeksi,20260715,29,2,2,0.725,0,0.00%,1,2,40,20
ilmiöt.fi,Psykologia ja kognitio,/darvo.html,darvo suomeksi,20260718,29,2,2,0.725,0,0.00%,1,2,40,20
ilmiöt.fi,Psykologia ja kognitio,/darvo.html,darvo suomeksi,20260719,29,2,2,0.725,0,0.00%,4.5,2,40,20
ilmiöt.fi,Psykologia ja kognitio,/darvo.html,darvo suomeksi,20260722,29,2,2,0.725,0,0.00%,5,2,40,20
ilmiöt.fi,Psykologia ja kognitio,/darvo.html,darvo taktiikka,20260705,29,2,2,0.725,0,0.00%,3,2,40,20
ilmiöt.fi,Psykologia ja kognitio,/darvo.html,darvo taktiikka,20260710,29,2,2,0.725,0,0.00%,5.5,2,40,20
ilmiöt.fi,Psykologia ja kognitio,/darvo.html,darvo taktiikka,20260711,29,2,2,0.725,0,0.00%,3,2,40,20
ilmiöt.fi,Psykologia ja kognitio,/darvo.html,darvo taktiikka,20260716,29,2,2,0.725,0,0.00%,2.5,2,40,20
ilmiöt.fi,Psykologia ja kognitio,/darvo.html,darvo taktiikka,20260717,29,2,2,0.725,1,50.00%,2.5,2,40,20
ilmiöt.fi,Psykologia ja kognitio,/darvo.html,darvo taktiikka,20260718,29,2,2,0.725,0,0.00%,4,2,40,20
ilmiöt.fi,Psykologia ja kognitio,/darvo.html,darvo taktiikka,20260719,29,2,2,0.725,0,0.00%,2,2,40,20
ilmiöt.fi,Psykologia ja kognitio,/darvo.html,darvo taktiikka,20260722,29,2,2,0.725,0,0.00%,4.5,2,40,20
ilmiöt.fi,Psykologia ja kognitio,/darvo.html,darvo taktiikka,20260724,29,2,2,0.725,0,0.00%,3.5,2,40,20
ilmiöt.fi,Alustatalous ja algoritmit,/ai-slop.html,ai slop suomeksi,20260710,37,2,2,0.9487179487179487,0,0.00%,8.5,2,39,19.5
ilmiöt.fi,Alustatalous ja algoritmit,/ai-slop.html,ai slop suomeksi,20260714,37,2,2,0.9487179487179487,0,0.00%,9,2,39,19.5
ilmiöt.fi,Alustatalous ja algoritmit,/ai-slop.html,ai slop suomeksi,20260719,37,2,2,0.9487179487179487,0,0.00%,7,2,39,19.5
ilmiöt.fi,Alustatalous ja algoritmit,/ai-slop.html,ai slop suomeksi,20260724,37,2,2,0.9487179487179487,1,50.00%,7.5,2,39,19.5
ilmiöt.fi,Alustatalous ja algoritmit,/ai-slop.html,slop suomeksi,20260710,37,2,2,0.9487179487179487,0,0.00%,12.5,2,39,19.5
ilmiöt.fi,Alustatalous ja algoritmit,/ai-slop.html,slop suomeksi,20260711,37,2,2,0.9487179487179487,0,0.00%,13,2,39,19.5
ilmiöt.fi,Alustatalous ja algoritmit,/ai-slop.html,slop suomeksi,20260713,37,2,2,0.9487179487179487,0,0.00%,12,2,39,19.5
ilmiöt.fi,Alustatalous ja algoritmit,/ai-slop.html,slop suomeksi,20260716,37,2,2,0.9487179487179487,0,0.00%,12,2,39,19.5
ilmiöt.fi,Alustatalous ja algoritmit,/ai-slop.html,slop suomeksi,20260719,37,2,2,0.9487179487179487,0,0.00%,9,2,39,19.5
ilmiöt.fi,Alustatalous ja algoritmit,/ai-slop.html,slop suomeksi,20260720,37,2,2,0.9487179487179487,0,0.00%,12,2,39,19.5
ilmiöt.fi,Pesut ja maineenhallinta,/viherpesu.html,mitä on viherpesu,20260715,15,2,2,1,0,0.00%,62,1,15,15
ilmiöt.fi,Pesut ja maineenhallinta,/viherpesu.html,viherpesu,20260709,15,2,2,1,0,0.00%,52,1,15,15
ilmiöt.fi,Pesut ja maineenhallinta,/viherpesu.html,viherpesu,20260710,15,2,2,1,0,0.00%,60,1,15,15
ilmiöt.fi,Pesut ja maineenhallinta,/viherpesu.html,viherpesu,20260711,15,2,2,1,0,0.00%,56,1,15,15
ilmiöt.fi,Pesut ja maineenhallinta,/viherpesu.html,viherpesu,20260713,15,2,2,1,0,0.00%,59,1,15,15
ilmiöt.fi,Pesut ja maineenhallinta,/viherpesu.html,viherpesu,20260714,15,2,2,1,0,0.00%,62,1,15,15
ilmiöt.fi,Pesut ja maineenhallinta,/viherpesu.html,viherpesu,20260722,15,2,2,1,0,0.00%,66,1,15,15
ilmiöt.fi,Pesut ja maineenhallinta,/viherpesu.html,viherpesu,20260723,15,2,2,1,0,0.00%,60,1,15,15
ilmiöt.fi,Psykologia ja kognitio,/halo-efekti.html,halo efekti,20260705,13,2,2,0.9285714285714286,0,0.00%,12,1,14,14
ilmiöt.fi,Psykologia ja kognitio,/halo-efekti.html,halo efekti,20260706,13,2,2,0.9285714285714286,0,0.00%,11,1,14,14
ilmiöt.fi,Psykologia ja kognitio,/halo-efekti.html,halo efekti,20260710,13,2,2,0.9285714285714286,0,0.00%,13,1,14,14
ilmiöt.fi,Psykologia ja kognitio,/halo-efekti.html,halo efekti,20260711,13,2,2,0.9285714285714286,0,0.00%,6,1,14,14
ilmiöt.fi,Psykologia ja kognitio,/halo-efekti.html,halo efekti,20260721,13,2,2,0.9285714285714286,0,0.00%,13,1,14,14
ilmiöt.fi,Psykologia ja kognitio,/halo-efekti.html,halo efekti,20260722,13,2,2,0.9285714285714286,0,0.00%,13,1,14,14
ilmiöt.fi,Psykologia ja kognitio,/halo-efekti.html,halo effect suomeksi,20260717,13,2,2,0.9285714285714286,0,0.00%,12,1,14,14
ilmiöt.fi,Psykologia ja kognitio,/halo-efekti.html,halo effekten,20260719,13,2,2,0.9285714285714286,0,0.00%,69,1,14,14
ilmiöt.fi,Psykologia ja kognitio,/halo-efekti.html,halo effekti,20260708,13,2,2,0.9285714285714286,0,0.00%,10,1,14,14
ilmiöt.fi,Psykologia ja kognitio,/halo-efekti.html,halo effekti,20260711,13,2,2,0.9285714285714286,0,0.00%,12,1,14,14
ilmiöt.fi,Psykologia ja kognitio,/halo-efekti.html,haloefekti,20260704,13,2,2,0.9285714285714286,0,0.00%,10,1,14,14
ilmiöt.fi,Psykologia ja kognitio,/halo-efekti.html,haloefekti,20260706,13,2,2,0.9285714285714286,0,0.00%,11,1,14,14
ilmiöt.fi,Psykologia ja kognitio,/halo-efekti.html,haloefekti,20260712,13,2,2,0.9285714285714286,0,0.00%,20,1,14,14
ilmiöt.fi,Psykologia ja kognitio,/halo-efekti.html,halo-effekten,20260719,13,2,2,0.9285714285714286,0,0.00%,63,1,14,14
ilmiöt.fi,Psykologia ja kognitio,/darvo.html,darvo suomeksi,20260710,29,2,2,0.725,1,33.33%,5.666666666666667,3,40,13.333333333333334
ilmiöt.fi,Psykologia ja kognitio,/darvo.html,darvo taktiikka,20260713,29,2,2,0.725,0,0.00%,2,3,40,13.333333333333334
ilmiöt.fi,Alustatalous ja algoritmit,/ai-slop.html,ai slop suomeksi,20260711,37,2,2,0.9487179487179487,0,0.00%,7.5,3,39,13
ilmiöt.fi,Alustatalous ja algoritmit,/ai-slop.html,ai slop suomeksi,20260717,37,2,2,0.9487179487179487,0,0.00%,8,3,39,13
ilmiöt.fi,Alustatalous ja algoritmit,/ai-slop.html,slop suomeksi,20260715,37,2,2,0.9487179487179487,0,0.00%,11.75,3,39,13
ilmiöt.fi,Alustatalous ja algoritmit,/ai-slop.html,slop suomeksi,20260718,37,2,2,0.9487179487179487,0,0.00%,8.666666666666666,3,39,13
ilmiöt.fi,Alustatalous ja algoritmit,/ai-slop.html,slop suomeksi,20260721,37,2,2,0.9487179487179487,0,0.00%,12.5,3,39,13
ilmiöt.fi,Informaatio ja propaganda,/whataboutismi.html,whataboutismi,20260717,10,2,2,0.7692307692307693,0,0.00%,10,1,13,13
ilmiöt.fi,Informaatio ja propaganda,/whataboutismi.html,whataboutismi suomeksi,20260718,10,2,2,0.7692307692307693,0,0.00%,9,1,13,13
ilmiöt.fi,Informaatio ja propaganda,/whataboutismi.html,whataboutismi tarkoittaa,20260714,10,2,2,0.7692307692307693,0,0.00%,11,1,13,13
ilmiöt.fi,Alustatalous ja algoritmit,/kuollut-internet.html,dead internet teoria,20260723,10,2,2,0.8333333333333334,0,0.00%,18,1,12,12
ilmiöt.fi,Alustatalous ja algoritmit,/kuollut-internet.html,kuollut internet teoria,20260713,10,2,2,0.8333333333333334,0,0.00%,11,1,12,12
ilmiöt.fi,Psykologia ja kognitio,/dunning-kruger.html,dunning,20260715,12,2,2,1,0,0.00%,23,1,12,12
ilmiöt.fi,Psykologia ja kognitio,/dunning-kruger.html,dunning krueger,20260716,12,2,2,1,0,0.00%,1,1,12,12
ilmiöt.fi,Psykologia ja kognitio,/dunning-kruger.html,dunning kruger,20260718,12,2,2,1,0,0.00%,20,1,12,12
ilmiöt.fi,Psykologia ja kognitio,/dunning-kruger.html,dunning kruger efekti,20260715,12,2,2,1,0,0.00%,22,1,12,12
ilmiöt.fi,Psykologia ja kognitio,/dunning-kruger.html,dunning kruger ilmiö,20260713,12,2,2,1,0,0.00%,10,1,12,12
ilmiöt.fi,Psykologia ja kognitio,/dunning-kruger.html,dunning kruger ilmiö,20260715,12,2,2,1,0,0.00%,12,1,12,12
ilmiöt.fi,Psykologia ja kognitio,/dunning-kruger.html,dunning kruger ilmiö,20260716,12,2,2,1,0,0.00%,12,1,12,12
ilmiöt.fi,Psykologia ja kognitio,/dunning-kruger.html,dunning-kruger,20260716,12,2,2,1,0,0.00%,1,1,12,12
ilmiöt.fi,Psykologia ja kognitio,/jarjestelman-puolustelu.html,järjestelmällinen,20260715,9,2,2,0.75,0,0.00%,67,1,12,12
ilmiöt.fi,Psykologia ja kognitio,/jarjestelman-puolustelu.html,sulautettu järjestelmä,20260713,9,2,2,0.75,0,0.00%,90,1,12,12
ilmiöt.fi,Psykologia ja kognitio,/jarjestelman-puolustelu.html,sulautettu järjestelmä,20260717,9,2,2,0.75,0,0.00%,87,1,12,12
ilmiöt.fi,Alustatalous ja algoritmit,/rage-bait.html,rage bait suomeksi,20260710,19,2,2,0.8636363636363636,0,0.00%,10.5,2,22,11
ilmiöt.fi,Alustatalous ja algoritmit,/rage-bait.html,rage bait suomeksi,20260712,19,2,2,0.8636363636363636,0,0.00%,10.5,2,22,11
ilmiöt.fi,Alustatalous ja algoritmit,/rage-bait.html,rage bait suomeksi,20260713,19,2,2,0.8636363636363636,0,0.00%,11.5,2,22,11
ilmiöt.fi,Alustatalous ja algoritmit,/rage-bait.html,rage bait suomeksi,20260718,19,2,2,0.8636363636363636,0,0.00%,11.5,2,22,11
ilmiöt.fi,Alustatalous ja algoritmit,/rage-bait.html,rage bait tarkoittaa,20260719,19,2,2,0.8636363636363636,0,0.00%,11,2,22,11
ilmiöt.fi,Alustatalous ja algoritmit,/rage-bait.html,ragebait,20260711,19,2,2,0.8636363636363636,0,0.00%,21,2,22,11
ilmiöt.fi,Alustatalous ja algoritmit,/rage-bait.html,ragebait,20260715,19,2,2,0.8636363636363636,0,0.00%,22,2,22,11
ilmiöt.fi,Työelämän ilmiöt,/hiljainen-irtisanoutuminen.html,hiljainen irtisanominen,20260719,8,2,2,0.7272727272727273,0,0.00%,8,1,11,11
ilmiöt.fi,Vallan rakenteet,/hajota-hallitse.html,divide et impera suomeksi,20260714,9,2,2,0.8181818181818182,0,0.00%,9,1,11,11
ilmiöt.fi,Vallan rakenteet,/hajota-hallitse.html,divide et impera suomeksi,20260715,9,2,2,0.8181818181818182,0,0.00%,8,1,11,11
ilmiöt.fi,Vallan rakenteet,/hajota-hallitse.html,hajota ja hallitse,20260723,9,2,2,0.8181818181818182,0,0.00%,16,1,11,11
ilmiöt.fi,Psykologia ja kognitio,/darvo.html,darvo taktiikka,20260712,29,2,2,0.725,0,0.00%,3.1666666666666665,4,40,10
ilmiöt.fi,Psykologia ja kognitio,/darvo.html,darvo taktiikka,20260714,29,2,2,0.725,0,0.00%,1.6666666666666665,4,40,10
ilmiöt.fi,Työelämän ilmiöt,/haamutyopaikat.html,haamutyöpaikka,20260709,8,2,2,0.8,0,0.00%,10,1,10,10
ilmiöt.fi,Työelämän ilmiöt,/haamutyopaikat.html,haamutyöpaikka,20260712,8,2,2,0.8,0,0.00%,10,1,10,10
ilmiöt.fi,Työelämän ilmiöt,/haamutyopaikat.html,haamutyöpaikka,20260716,8,2,2,0.8,0,0.00%,11,1,10,10
ilmiöt.fi,Työelämän ilmiöt,/haamutyopaikat.html,haamutyöpaikka,20260719,8,2,2,0.8,0,0.00%,14,1,10,10
ilmiöt.fi,Alustatalous ja algoritmit,/ai-slop.html,slop suomeksi,20260709,37,2,2,0.9487179487179487,0,0.00%,11.25,4,39,9.75
ilmiöt.fi,Alustatalous ja algoritmit,/ai-slop.html,slop suomeksi,20260714,37,2,2,0.9487179487179487,0,0.00%,12,4,39,9.75
ilmiöt.fi,Alustatalous ja algoritmit,/kaikukammio.html,kaikukammio,20260720,8,2,2,0.8888888888888888,0,0.00%,8,1,9,9
ilmiöt.fi,Alustatalous ja algoritmit,/kaikukammio.html,kaikukammio,20260722,8,2,2,0.8888888888888888,0,0.00%,9,1,9,9
ilmiöt.fi,Alustatalous ja algoritmit,/kaikukammio.html,kaikukammio,20260723,8,2,2,0.8888888888888888,0,0.00%,6,1,9,9
ilmiöt.fi,Alustatalous ja algoritmit,/parasosiaalinen-suhde.html,parasosiaalinen,20260721,9,2,2,1,0,0.00%,20,1,9,9
ilmiöt.fi,Alustatalous ja algoritmit,/parasosiaalinen-suhde.html,parasosiaalinen,20260722,9,2,2,1,0,0.00%,19,1,9,9
ilmiöt.fi,Alustatalous ja algoritmit,/parasosiaalinen-suhde.html,parasosiaalinen,20260723,9,2,2,1,0,0.00%,19,1,9,9
ilmiöt.fi,Alustatalous ja algoritmit,/parasosiaalinen-suhde.html,parasosiaalinen tarkoittaa,20260720,9,2,2,1,0,0.00%,9,1,9,9
ilmiöt.fi,Alustatalous ja algoritmit,/parasosiaalinen-suhde.html,parasosiaalinen tarkoittaa,20260722,9,2,2,1,0,0.00%,7,1,9,9
ilmiöt.fi,Byrokratia ja organisaatio,/goodhartin-laki.html,goodhartin laki,20260705,7,2,2,0.7777777777777778,0,0.00%,7,1,9,9
ilmiöt.fi,Byrokratia ja organisaatio,/goodhartin-laki.html,goodhartin laki,20260712,7,2,2,0.7777777777777778,0,0.00%,5,1,9,9
ilmiöt.fi,Byrokratia ja organisaatio,/goodhartin-laki.html,goodhartin laki,20260713,7,2,2,0.7777777777777778,0,0.00%,5,1,9,9
ilmiöt.fi,Byrokratia ja organisaatio,/goodhartin-laki.html,goodhartin laki,20260715,7,2,2,0.7777777777777778,0,0.00%,5,1,9,9
ilmiöt.fi,Byrokratia ja organisaatio,/goodhartin-laki.html,goodhartin laki,20260721,7,2,2,0.7777777777777778,0,0.00%,5,1,9,9
ilmiöt.fi,Byrokratia ja organisaatio,/goodhartin-laki.html,goodhartin laki,20260722,7,2,2,0.7777777777777778,0,0.00%,5,1,9,9
ilmiöt.fi,Byrokratia ja organisaatio,/kafka-ilmio.html,kafka asiantuntijat itä eurooppa,20260707,9,2,2,1,0,0.00%,18,1,9,9
ilmiöt.fi,Byrokratia ja organisaatio,/kafka-ilmio.html,kafka asiantuntijat itä eurooppa,20260714,9,2,2,1,0,0.00%,14,1,9,9
ilmiöt.fi,Byrokratia ja organisaatio,/kafka-ilmio.html,kafka ulkoistaminen,20260721,9,2,2,1,0,0.00%,28,1,9,9
ilmiöt.fi,Byrokratia ja organisaatio,/kafka-ilmio.html,kafkamainen,20260719,9,2,2,1,0,0.00%,22,1,9,9
ilmiöt.fi,Byrokratia ja organisaatio,/kafka-ilmio.html,kafkamainen,20260722,9,2,2,1,0,0.00%,22,1,9,9
ilmiöt.fi,Byrokratia ja organisaatio,/kafka-ilmio.html,ulkoistaminen kafka,20260707,9,2,2,1,0,0.00%,32,1,9,9
ilmiöt.fi,Byrokratia ja organisaatio,/kafka-ilmio.html,ulkoistaminen kafka,20260714,9,2,2,1,0,0.00%,34,1,9,9
ilmiöt.fi,Byrokratia ja organisaatio,/kafka-ilmio.html,ulkoistaminen kafka,20260721,9,2,2,1,0,0.00%,39,1,9,9
ilmiöt.fi,Byrokratia ja organisaatio,/simple-sabotage.html,simple sabotage field manual,20260704,9,2,2,1,0,0.00%,4,1,9,9
ilmiöt.fi,Byrokratia ja organisaatio,/simple-sabotage.html,simple sabotage field manual 1944,20260718,9,2,2,1,0,0.00%,95,1,9,9
ilmiöt.fi,Byrokratia ja organisaatio,/simple-sabotage.html,simple sabotage field manual wiki,20260712,9,2,2,1,0,0.00%,39,1,9,9
ilmiöt.fi,Byrokratia ja organisaatio,/simple-sabotage.html,simple sabotage field manual wiki,20260714,9,2,2,1,0,0.00%,28,1,9,9
ilmiöt.fi,Byrokratia ja organisaatio,/simple-sabotage.html,simple sabotage field manual wiki,20260717,9,2,2,1,0,0.00%,40,1,9,9
ilmiöt.fi,Byrokratia ja organisaatio,/simple-sabotage.html,simple sabotage field manual wiki,20260718,9,2,2,1,0,0.00%,59,1,9,9
ilmiöt.fi,Byrokratia ja organisaatio,/simple-sabotage.html,simple sabotage field manual wikipedia,20260703,9,2,2,1,0,0.00%,50,1,9,9
ilmiöt.fi,Byrokratia ja organisaatio,/simple-sabotage.html,simple sabotage field manual wikipedia,20260706,9,2,2,1,0,0.00%,44,1,9,9
ilmiöt.fi,Informaatio ja propaganda,/astroturf.html,astroturfing,20260710,7,2,2,0.7777777777777778,0,0.00%,6,1,9,9
ilmiöt.fi,Informaatio ja propaganda,/astroturf.html,astroturfing,20260713,7,2,2,0.7777777777777778,0,0.00%,16,1,9,9
ilmiöt.fi,Informaatio ja propaganda,/bkt-harha.html,bkt,20260709,8,2,2,0.8888888888888888,0,0.00%,47,1,9,9
ilmiöt.fi,Informaatio ja propaganda,/bkt-harha.html,bkt,20260711,8,2,2,0.8888888888888888,0,0.00%,71,1,9,9
ilmiöt.fi,Informaatio ja propaganda,/bkt-harha.html,bkt,20260713,8,2,2,0.8888888888888888,0,0.00%,76,1,9,9
ilmiöt.fi,Informaatio ja propaganda,/bkt-harha.html,bkt englanniksi,20260714,8,2,2,0.8888888888888888,0,0.00%,34,1,9,9
ilmiöt.fi,Informaatio ja propaganda,/bkt-harha.html,bktl,20260713,8,2,2,0.8888888888888888,0,0.00%,24,1,9,9
ilmiöt.fi,Informaatio ja propaganda,/bkt-harha.html,bktl,20260715,8,2,2,0.8888888888888888,0,0.00%,26,1,9,9
ilmiöt.fi,Informaatio ja propaganda,/bkt-harha.html,bruttokansantuote englanniksi,20260714,8,2,2,0.8888888888888888,0,0.00%,36,1,9,9
ilmiöt.fi,Informaatio ja propaganda,/bkt-harha.html,irlannin talous,20260715,8,2,2,0.8888888888888888,0,0.00%,56,1,9,9
ilmiöt.fi,Informaatio ja propaganda,/bkt-harha.html,irlanti bkt,20260715,8,2,2,0.8888888888888888,0,0.00%,12,1,9,9
ilmiöt.fi,Informaatio ja propaganda,/bkt-harha.html,irlanti bkt,20260721,8,2,2,0.8888888888888888,0,0.00%,12,1,9,9
ilmiöt.fi,Informaatio ja propaganda,/bkt-harha.html,irlanti talous,20260715,8,2,2,0.8888888888888888,0,0.00%,51,1,9,9
ilmiöt.fi,Informaatio ja propaganda,/bkt-harha.html,mikä on bkt,20260713,8,2,2,0.8888888888888888,0,0.00%,41,1,9,9
ilmiöt.fi,Informaatio ja propaganda,/firehose-of-falsehood.html,valaistusvyöhyke,20260713,7,2,2,0.7777777777777778,0,0.00%,41,1,9,9
ilmiöt.fi,Informaatio ja propaganda,/trollitehdas.html,trollitehdas,20260715,7,2,2,0.7777777777777778,0,0.00%,11,1,9,9
ilmiöt.fi,Informaatio ja propaganda,/trollitehdas.html,trollitehdas,20260717,7,2,2,0.7777777777777778,0,0.00%,8,1,9,9
ilmiöt.fi,Informaatio ja propaganda,/trollitehdas.html,trollitehdas,20260724,7,2,2,0.7777777777777778,0,0.00%,11,1,9,9
ilmiöt.fi,Psykologia ja kognitio,/sunk-cost-harha.html,sunk cost fallacy suomeksi,20260720,7,2,2,0.7777777777777778,0,0.00%,9,1,9,9
ilmiöt.fi,Psykologia ja kognitio,/sunk-cost-harha.html,sunk cost fallacy suomeksi,20260723,7,2,2,0.7777777777777778,0,0.00%,9,1,9,9
ilmiöt.fi,Psykologia ja kognitio,/sunk-cost-harha.html,uponneet kustannukset,20260722,7,2,2,0.7777777777777778,0,0.00%,30,1,9,9
ilmiöt.fi,Psykologia ja kognitio,/sunk-cost-harha.html,uponneiden kustannusten harha,20260712,7,2,2,0.7777777777777778,0,0.00%,16,1,9,9
ilmiöt.fi,Psykologia ja kognitio,/sunk-cost-harha.html,uponneiden kustannusten harha,20260723,7,2,2,0.7777777777777778,0,0.00%,9,1,9,9
ilmiöt.fi,Vallan rakenteet,/overton-ikkuna.html,overton ikkuna,20260712,7,2,2,0.7777777777777778,0,0.00%,5,1,9,9
ilmiöt.fi,Vallan rakenteet,/overton-ikkuna.html,overton ikkuna,20260718,7,2,2,0.7777777777777778,0,0.00%,5,1,9,9
ilmiöt.fi,Vallan rakenteet,/overton-ikkuna.html,overtonin ikkuna,20260710,7,2,2,0.7777777777777778,0,0.00%,22,1,9,9
ilmiöt.fi,Vallan rakenteet,/overton-ikkuna.html,overtonin ikkuna,20260721,7,2,2,0.7777777777777778,0,0.00%,18,1,9,9
ilmiöt.fi,Byrokratia ja organisaatio,/peterin-periaate.html,periaate,20260720,8,2,2,1,0,0.00%,20,1,8,8
ilmiöt.fi,Byrokratia ja organisaatio,/peterin-periaate.html,periaate,20260721,8,2,2,1,0,0.00%,28,1,8,8
ilmiöt.fi,Byrokratia ja organisaatio,/peterin-periaate.html,peterin periaate,20260714,8,2,2,1,0,0.00%,6,1,8,8
ilmiöt.fi,Byrokratia ja organisaatio,/peterin-periaate.html,peterin periaate,20260715,8,2,2,1,0,0.00%,6,1,8,8
ilmiöt.fi,Byrokratia ja organisaatio,/peterin-periaate.html,peterin periaate,20260717,8,2,2,1,0,0.00%,10,1,8,8
ilmiöt.fi,Byrokratia ja organisaatio,/peterin-periaate.html,peterin periaate,20260719,8,2,2,1,0,0.00%,7,1,8,8
ilmiöt.fi,Byrokratia ja organisaatio,/peterin-periaate.html,peterin periaate,20260720,8,2,2,1,0,0.00%,7,1,8,8
ilmiöt.fi,Byrokratia ja organisaatio,/peterin-periaate.html,peterin periaate,20260723,8,2,2,1,0,0.00%,8,1,8,8
ilmiöt.fi,Huijaukset ja petokset,/bait-and-switch.html,bait and switch,20260717,7,2,2,0.875,0,0.00%,24,1,8,8
ilmiöt.fi,Huijaukset ja petokset,/honeypot-huijaus.html,honeypot,20260709,6,2,2,0.75,0,0.00%,8,1,8,8
